VT,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
VTX00248,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,1,0,2,0,0,2,0,0,2,1,0,0,0,0,0
VTX00253,0,77,44,1003,4386,30,293,230,0,270,11,1635,4,1413,0,0,2126,16,8,9,38,0,1911,8,3,7899,1,39,0,0,0,0
VTX00259,0,536,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,96,25,64,0,40,0,4,0,0,0,0,0,0,0,0
VTX00262,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,355,0,0,0,0,0
VTX00264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,6,0,0,0,0,0
VTX00268,0,0,0,0,0,0,0,0,0,23,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
VTX00269,0,0,862,0,0,27,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923
VTX00270,0,0,3,0,688,275,0,0,0,7380,1236,0,1,0,684,303,803,0,0,0,2095,1,1120,0,0,805,0,2663,0,443,2003,1554
VTX00278,0,1502,0,0,0,0,0,0,0,5415,0,0,0,541,0,0,0,0,1020,448,0,0,0,911,0,0,0,0,0,0,0,0
VTX00280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0
VTX00281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
VTX00288,0,539,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,668,0,0,0,0,0,0,0,0,0,0,0,0
VTX00295,5,0,0,0,0,0,0,0,0,0,0,0,15,63,9,19,0,6,0,1,0,3,0,0,0,0,33,0,31,0,0,0
VTX00304,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,3363
